NOMBRE DPTO;COD_MPIO;NOMBRE MPIO;SEXOS;Rango Edad;Personas
Antioquia;5001;Medellín;HOMBRES;00-04;87482
Antioquia;5001;Medellín;HOMBRES;05-09;88369
Antioquia;5001;Medellín;HOMBRES;10-14;91108
Antioquia;5001;Medellín;HOMBRES;15-19;97757
Antioquia;5001;Medellín;HOMBRES;20-24;106958
Antioquia;5001;Medellín;HOMBRES;25-29;107841
Antioquia;5001;Medellín;HOMBRES;30-34;98348
Antioquia;5001;Medellín;HOMBRES;35-39;89164
Antioquia;5001;Medellín;HOMBRES;40-44;75137
Antioquia;5001;Medellín;HOMBRES;45-49;65649
Antioquia;5001;Medellín;HOMBRES;50-54;67322
Antioquia;5001;Medellín;HOMBRES;55-59;63274
Antioquia;5001;Medellín;HOMBRES;60-64;51696
Antioquia;5001;Medellín;HOMBRES;65-69;38845
Antioquia;5001;Medellín;HOMBRES;70-74;27464
Antioquia;5001;Medellín;HOMBRES;75-79;17683
Antioquia;5001;Medellín;HOMBRES;80-84;10202
Antioquia;5001;Medellín;HOMBRES;85-89;5397
Antioquia;5001;Medellín;HOMBRES;90-94;2573
Antioquia;5001;Medellín;HOMBRES;95-99;1070
Antioquia;5001;Medellín;HOMBRES;100 AÑOS Y MÁS;452
Antioquia;5002;Abejorral;HOMBRES;00-04;771
Antioquia;5002;Abejorral;HOMBRES;05-09;782
Antioquia;5002;Abejorral;HOMBRES;10-14;806
Antioquia;5002;Abejorral;HOMBRES;15-19;865
Antioquia;5002;Abejorral;HOMBRES;20-24;946
Antioquia;5002;Abejorral;HOMBRES;25-29;954
Antioquia;5002;Abejorral;HOMBRES;30-34;870
Antioquia;5002;Abejorral;HOMBRES;35-39;789
Antioquia;5002;Abejorral;HOMBRES;40-44;665
Antioquia;5002;Abejorral;HOMBRES;45-49;581
Antioquia;5002;Abejorral;HOMBRES;50-54;595
Antioquia;5002;Abejorral;HOMBRES;55-59;560
Antioquia;5002;Abejorral;HOMBRES;60-64;457
Antioquia;5002;Abejorral;HOMBRES;65-69;344
Antioquia;5002;Abejorral;HOMBRES;70-74;243
Antioquia;5002;Abejorral;HOMBRES;75-79;156
Antioquia;5002;Abejorral;HOMBRES;80-84;90
Antioquia;5002;Abejorral;HOMBRES;85-89;48
Antioquia;5002;Abejorral;HOMBRES;90-94;23
Antioquia;5002;Abejorral;HOMBRES;95-99;9
Antioquia;5002;Abejorral;HOMBRES;100 AÑOS Y MÁS;4
Antioquia;5004;Abriaquí;HOMBRES;00-04;108
Antioquia;5004;Abriaquí;HOMBRES;05-09;110
Antioquia;5004;Abriaquí;HOMBRES;10-14;113
Antioquia;5004;Abriaquí;HOMBRES;15-19;121
Antioquia;5004;Abriaquí;HOMBRES;20-24;133
Antioquia;5004;Abriaquí;HOMBRES;25-29;134
Antioquia;5004;Abriaquí;HOMBRES;30-34;122
Antioquia;5004;Abriaquí;HOMBRES;35-39;111
Antioquia;5004;Abriaquí;HOMBRES;40-44;93
Antioquia;5004;Abriaquí;HOMBRES;45-49;81
Antioquia;5004;Abriaquí;HOMBRES;50-54;84
Antioquia;5004;Abriaquí;HOMBRES;55-59;79
Antioquia;5004;Abriaquí;HOMBRES;60-64;64
Antioquia;5004;Abriaquí;HOMBRES;65-69;48
Antioquia;5004;Abriaquí;HOMBRES;70-74;34
Antioquia;5004;Abriaquí;HOMBRES;75-79;22
Antioquia;5004;Abriaquí;HOMBRES;80-84;13
Antioquia;5004;Abriaquí;HOMBRES;85-89;7
Antioquia;5004;Abriaquí;HOMBRES;90-94;3
Antioquia;5004;Abriaquí;HOMBRES;95-99;1
Antioquia;5004;Abriaquí;HOMBRES;100 AÑOS Y MÁS;1
Antioquia;5021;Alejandría;HOMBRES;00-04;171
Antioquia;5021;Alejandría;HOMBRES;05-09;173
Antioquia;5021;Alejandría;HOMBRES;10-14;178
Antioquia;5021;Alejandría;HOMBRES;15-19;191
Antioquia;5021;Alejandría;HOMBRES;20-24;209
Antioquia;5021;Alejandría;HOMBRES;25-29;211
Antioquia;5021;Alejandría;HOMBRES;30-34;193
Antioquia;5021;Alejandría;HOMBRES;35-39;175
Antioquia;5021;Alejandría;HOMBRES;40-44;147
Antioquia;5021;Alejandría;HOMBRES;45-49;129
Antioquia;5021;Alejandría;HOMBRES;50-54;132
Antioquia;5021;Alejandría;HOMBRES;55-59;124
Antioquia;5021;Alejandría;HOMBRES;60-64;101
Antioquia;5021;Alejandría;HOMBRES;65-69;76
Antioquia;5021;Alejandría;HOMBRES;70-74;54
Antioquia;5021;Alejandría;HOMBRES;75-79;35
Antioquia;5021;Alejandría;HOMBRES;80-84;20
Antioquia;5021;Alejandría;HOMBRES;85-89;11
Antioquia;5021;Alejandría;HOMBRES;90-94;5
Antioquia;5021;Alejandría;HOMBRES;95-99;2
Antioquia;5021;Alejandría;HOMBRES;100 AÑOS Y MÁS;1
Antioquia;5030;Amagá;HOMBRES;00-04;1126
Antioquia;5030;Amagá;HOMBRES;05-09;1139
Antioquia;5030;Amagá;HOMBRES;10-14;1174
Antioquia;5030;Amagá;HOMBRES;15-19;1260
Antioquia;5030;Amagá;HOMBRES;20-24;1378
Antioquia;5030;Amagá;HOMBRES;25-29;1390
Antioquia;5030;Amagá;HOMBRES;30-34;1267
Antioquia;5030;Amagá;HOMBRES;35-39;1149
Antioquia;5030;Amagá;HOMBRES;40-44;968
Antioquia;5030;Amagá;HOMBRES;45-49;846
Antioquia;5030;Amagá;HOMBRES;50-54;867
Antioquia;5030;Amagá;HOMBRES;55-59;815
Antioquia;5030;Amagá;HOMBRES;60-64;666
Antioquia;5030;Amagá;HOMBRES;65-69;501
Antioquia;5030;Amagá;HOMBRES;70-74;354
Antioquia;5030;Amagá;HOMBRES;75-79;228
Antioquia;5030;Amagá;HOMBRES;80-84;131
Antioquia;5030;Amagá;HOMBRES;85-89;70
Antioquia;5030;Amagá;HOMBRES;90-94;33
Antioquia;5030;Amagá;HOMBRES;95-99;14
Antioquia;5030;Amagá;HOMBRES;100 AÑOS Y MÁS;6
Antioquia;5031;Amalfi;HOMBRES;00-04;997
Antioquia;5031;Amalfi;HOMBRES;05-09;1005
Antioquia;5031;Amalfi;HOMBRES;10-14;1036
Antioquia;5031;Amalfi;HOMBRES;15-19;1111
Antioquia;5031;Amalfi;HOMBRES;20-24;1216
Antioquia;5031;Amalfi;HOMBRES;25-29;1226
Antioquia;5031;Amalfi;HOMBRES;30-34;1118
Antioquia;5031;Amalfi;HOMBRES;35-39;1014
Antioquia;5031;Amalfi;HOMBRES;40-44;854
Antioquia;5031;Amalfi;HOMBRES;45-49;746
Antioquia;5031;Amalfi;HOMBRES;50-54;765
Antioquia;5031;Amalfi;HOMBRES;55-59;719
Antioquia;5031;Amalfi;HOMBRES;60-64;588
Antioquia;5031;Amalfi;HOMBRES;65-69;442
Antioquia;5031;Amalfi;HOMBRES;70-74;312
Antioquia;5031;Amalfi;HOMBRES;75-79;201
Antioquia;5031;Amalfi;HOMBRES;80-84;116
Antioquia;5031;Amalfi;HOMBRES;85-89;61
Antioquia;5031;Amalfi;HOMBRES;90-94;29
Antioquia;5031;Amalfi;HOMBRES;95-99;12
Antioquia;5031;Amalfi;HOMBRES;100 AÑOS Y MÁS;5
Antioquia;5034;Andes;HOMBRES;00-04;1676
Antioquia;5034;Andes;HOMBRES;05-09;1695
Antioquia;5034;Andes;HOMBRES;10-14;1748
Antioquia;5034;Andes;HOMBRES;15-19;1876
Antioquia;5034;Andes;HOMBRES;20-24;2052
Antioquia;5034;Andes;HOMBRES;25-29;2069
Antioquia;5034;Andes;HOMBRES;30-34;1887
Antioquia;5034;Andes;HOMBRES;35-39;1711
Antioquia;5034;Andes;HOMBRES;40-44;1442
Antioquia;5034;Andes;HOMBRES;45-49;1260
Antioquia;5034;Andes;HOMBRES;50-54;1292
Antioquia;5034;Andes;HOMBRES;55-59;1214
Antioquia;5034;Andes;HOMBRES;60-64;992
Antioquia;5034;Andes;HOMBRES;65-69;745
Antioquia;5034;Andes;HOMBRES;70-74;527
Antioquia;5034;Andes;HOMBRES;75-79;339
Antioquia;5034;Andes;HOMBRES;80-84;196
Antioquia;5034;Andes;HOMBRES;85-89;104
Antioquia;5034;Andes;HOMBRES;90-94;49
Antioquia;5034;Andes;HOMBRES;95-99;21
Antioquia;5034;Andes;HOMBRES;100 AÑOS Y MÁS;9
Antioquia;5036;Angelópolis;HOMBRES;00-04;216
Antioquia;5036;Angelópolis;HOMBRES;05-09;217
Antioquia;5036;Angelópolis;HOMBRES;10-14;224
Antioquia;5036;Angelópolis;HOMBRES;15-19;240
Antioquia;5036;Angelópolis;HOMBRES;20-24;263
Antioquia;5036;Angelópolis;HOMBRES;25-29;265
Antioquia;5036;Angelópolis;HOMBRES;30-34;242
Antioquia;5036;Angelópolis;HOMBRES;35-39;219
Antioquia;5036;Angelópolis;HOMBRES;40-44;185
Antioquia;5036;Angelópolis;HOMBRES;45-49;161
Antioquia;5036;Angelópolis;HOMBRES;50-54;166
Antioquia;5036;Angelópolis;HOMBRES;55-59;156
Antioquia;5036;Angelópolis;HOMBRES;60-64;127
Antioquia;5036;Angelópolis;HOMBRES;65-69;96
Antioquia;5036;Angelópolis;HOMBRES;70-74;68
Antioquia;5036;Angelópolis;HOMBRES;75-79;43
Antioquia;5036;Angelópolis;HOMBRES;80-84;25
Antioquia;5036;Angelópolis;HOMBRES;85-89;13
Antioquia;5036;Angelópolis;HOMBRES;90-94;6
Antioquia;5036;Angelópolis;HOMBRES;95-99;3
Antioquia;5036;Angelópolis;HOMBRES;100 AÑOS Y MÁS;1
Antioquia;5038;Angostura;HOMBRES;00-04;428
Antioquia;5038;Angostura;HOMBRES;05-09;432
Antioquia;5038;Angostura;HOMBRES;10-14;445
Antioquia;5038;Angostura;HOMBRES;15-19;477
Antioquia;5038;Angostura;HOMBRES;20-24;522
Antioquia;5038;Angostura;HOMBRES;25-29;527
Antioquia;5038;Angostura;HOMBRES;30-34;480
Antioquia;5038;Angostura;HOMBRES;35-39;435
Antioquia;5038;Angostura;HOMBRES;40-44;367
Antioquia;5038;Angostura;HOMBRES;45-49;321
Antioquia;5038;Angostura;HOMBRES;50-54;329
Antioquia;5038;Angostura;HOMBRES;55-59;309
Antioquia;5038;Angostura;HOMBRES;60-64;252
Antioquia;5038;Angostura;HOMBRES;65-69;190
Antioquia;5038;Angostura;HOMBRES;70-74;134
Antioquia;5038;Angostura;HOMBRES;75-79;86
Antioquia;5038;Angostura;HOMBRES;80-84;50
Antioquia;5038;Angostura;HOMBRES;85-89;26
Antioquia;5038;Angostura;HOMBRES;90-94;13
Antioquia;5038;Angostura;HOMBRES;95-99;5
Antioquia;5038;Angostura;HOMBRES;100 AÑOS Y MÁS;2
Antioquia;5040;Anorí;HOMBRES;00-04;732
Antioquia;5040;Anorí;HOMBRES;05-09;740
Antioquia;5040;Anorí;HOMBRES;10-14;763
Antioquia;5040;Anorí;HOMBRES;15-19;818
Antioquia;5040;Anorí;HOMBRES;20-24;895
Antioquia;5040;Anorí;HOMBRES;25-29;903
Antioquia;5040;Anorí;HOMBRES;30-34;823
Antioquia;5040;Anorí;HOMBRES;35-39;746
Antioquia;5040;Anorí;HOMBRES;40-44;629
Antioquia;5040;Anorí;HOMBRES;45-49;549
Antioquia;5040;Anorí;HOMBRES;50-54;563
Antioquia;5040;Anorí;HOMBRES;55-59;530
Antioquia;5040;Anorí;HOMBRES;60-64;433
Antioquia;5040;Anorí;HOMBRES;65-69;325
Antioquia;5040;Anorí;HOMBRES;70-74;230
Antioquia;5040;Anorí;HOMBRES;75-79;148
Antioquia;5040;Anorí;HOMBRES;80-84;85
Antioquia;5040;Anorí;HOMBRES;85-89;45
Antioquia;5040;Anorí;HOMBRES;90-94;22
Antioquia;5040;Anorí;HOMBRES;95-99;9
Antioquia;5040;Anorí;HOMBRES;100 AÑOS Y MÁS;4
Antioquia;5042;Santafé de Antioquia;HOMBRES;00-04;982
Antioquia;5042;Santafé de Antioquia;HOMBRES;05-09;992
Antioquia;5042;Santafé de Antioquia;HOMBRES;10-14;1023
Antioquia;5042;Santafé de Antioquia;HOMBRES;15-19;1098
Antioquia;5042;Santafé de Antioquia;HOMBRES;20-24;1201
Antioquia;5042;Santafé de Antioquia;HOMBRES;25-29;1211
Antioquia;5042;Santafé de Antioquia;HOMBRES;30-34;1104
Antioquia;5042;Santafé de Antioquia;HOMBRES;35-39;1001
Antioquia;5042;Santafé de Antioquia;HOMBRES;40-44;844
Antioquia;5042;Santafé de Antioquia;HOMBRES;45-49;737
Antioquia;5042;Santafé de Antioquia;HOMBRES;50-54;756
Antioquia;5042;Santafé de Antioquia;HOMBRES;55-59;710
Antioquia;5042;Santafé de Antioquia;HOMBRES;60-64;580
