# of Instruments;Code;Country;Date;Detail of the measure;Instrument;Level 1;Level of income;Número de registros;Region;Type of intervention
1;COL;Colombia;03/20/2020;"Increased amount of liquidity auction facility; increased amount for repo operations";;Liquidity/funding;Upper middle income;1;LAC;Liquidity (incl FX)/ELA
1;COL;Colombia;03/20/2020;Expansion of eligible collateral central bank refinancing operations;;Liquidity/funding;Upper middle income;1;LAC;Liquidity (incl FX)/ELA
1;COL;Colombia;03/20/2020; Promotion of digital distribution channels;;Payment systems;Upper middle income;1;LAC;
1;COL;Colombia;03/20/2020; Targeted voluntary loan restructuring;Support / facilitate restructuring of loans;Banking Sector;Upper middle income;1;LAC;Prudential
1;COL;Colombia;03/27/2020;7-day reverse repo rate, cut 50bp, to 3.75%;;Liquidity/funding;Upper middle income;1;LAC;Policy rate
1;COL;Colombia;03/30/2020;The central banks of Colombia has begun to buy government and private sector bonds on secondary markets;;Liquidity/funding;Upper middle income;1;LAC;Asset purchases
1;COL;Colombia;04/14/2020;"Decrease of three percentage points of the reserve requirement on liabilities whose current required 
reserve percentage is 11% (checking accounts, savings accounts, etc.), from 11% to 8%";;Liquidity/funding;Upper middle income;1;LAC;Liquidity (incl FX)/ELA
1;COL;Colombia;04/14/2020;"Decrease of one percentage point of the reserve requirement on the receivables whose current required
 reserve percentage is 4.5% (CDT of less than 18 months), from 4.5% to 3.5%";;Liquidity/funding;Upper middle income;1;LAC;Liquidity (incl FX)/ELA
1;COL;Colombia;04/14/2020;Authorized the purchase of TES in the secondary market for up to $ 2 billion in the remainder of April;;Liquidity/funding;Upper middle income;1;LAC;Asset purchases
1;COL;Colombia;04/14/2020;"On G2P Colombia has mobilized very quickly an emergency cash transfer program for informal workers
 (ingreso solidario) which is aiming to explicitly leverage mobile wallets and digital payments infrastructure.";;Payment systems;Upper middle income;1;LAC;
1;COL;Colombia;04/16/2020;Expanded its its liquidity operations (repo, final purchases and temporary liquidity support) to includ Solidarity Titles;;Liquidity/funding;Upper middle income;1;LAC;Liquidity (incl FX)/ELA
