Fecha,Acumuladas,Amazonas,Antioquia,Arauca,Atlantico,Bogota,Bolivar,Boyaca,Caldas,Caqueta,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guainia,Guajira,Guaviare,Huila,Magdalena,Meta,Narino,Norte de Santander,Putumayo,Quindio,Risaralda,San Andres,Santander,Sucre,Tolima,Valle del Cauca,Vaupes,Vichada,Procedencia desconocida
Acumulado Feb,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05T00:00:00.000,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06T00:00:00.000,739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07T00:00:00.000,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08T00:00:00.000,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09T00:00:00.000,851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10T00:00:00.000,927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11T00:00:00.000,"1,133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12T00:00:00.000,"1,393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13T00:00:00.000,"1,754",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14T00:00:00.000,"2,343",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15T00:00:00.000,"3,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16T00:00:00.000,"3,607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17T00:00:00.000,"3,931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18T00:00:00.000,"4,690",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19T00:00:00.000,"5,363",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20T00:00:00.000,"5,766",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21T00:00:00.000,"6,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22T00:00:00.000,"6,910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23T00:00:00.000,"7,285",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-24T00:00:00.000,"8,051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-25T00:00:00.000,"8,797",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26T00:00:00.000,"9,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-27T00:00:00.000,"9,486",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-28T00:00:00.000,"10,851",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-29T00:00:00.000,"12,325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30T00:00:00.000,"13,816",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31T00:00:00.000,"17,863",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01T00:00:00.000,"20,253",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-02T00:00:00.000,"21,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-03T00:00:00.000,"22,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-04T00:00:00.000,"23,989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-05T00:00:00.000,"25,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-06T00:00:00.000,"27,968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-07T00:00:00.000,"30,728",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-08T00:00:00.000,"33,858",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-09T00:00:00.000,"35,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-10T00:00:00.000,"37,876",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-11T00:00:00.000,"40,618",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-12T00:00:00.000,"41,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-13T00:00:00.000,"43,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14T00:00:00.000,"45,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-15T00:00:00.000,"48,556",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-16T00:00:00.000,"52,013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-17T00:00:00.000,"55,501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-18T00:00:00.000,"58,930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-19T00:00:00.000,"62,674",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-20T00:00:00.000,"65,097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-21T00:00:00.000,"68,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-22T00:00:00.000,"71,407",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-23T00:00:00.000,"74,864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-24T00:00:00.000,"77,985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-25T00:00:00.000,"81,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-26T00:00:00.000,"87,106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-27T00:00:00.000,"90,899",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-28T00:00:00.000,"95,085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-29T00:00:00.000,"100,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-30T00:00:00.000,"104,657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-01T00:00:00.000,"108,950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-02T00:00:00.000,"114,602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-03T00:00:00.000,"118,801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-04T00:00:00.000,"123,029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-05T00:00:00.000,"127,105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-06T00:00:00.000,"131,110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-07T00:00:00.000,"135,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-08T00:00:00.000,"139,739",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-09T00:00:00.000,"144,912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-10T00:00:00.000,"151,396","1,457","21,161",591,"8,100","46,276","5,586","2,022","3,051",481,766,"1,878","1,749",690,"2,631","3,749",6,749,156,"3,679","4,314","4,403","2,545","3,578",121,"1,491","4,253",250,"3,613",591,"2,219","16,447",44,5,"2,744"
2020-05-11T00:00:00.000,"158,933","1,799","21,676",602,"8,880","49,698","5,938","2,141","3,100",495,777,"1,893","1,755",690,"2,683","4,035",12,749,156,"3,818","4,617","4,822","2,596","3,636",134,"1,527","4,253",250,"3,801",592,"2,245","16,618",140,6,"2,799"
2020-05-12T00:00:00.000,"165,738","2,007","22,573",602,"9,500","51,769","6,479","2,243","3,204",534,780,"1,969","1,828",744,"2,713","4,219",12,792,156,"3,919","4,709","4,880","2,635","3,673",134,"1,561","4,308",250,"3,961",644,"2,676","17,276",140,6,"2,842"
2020-05-13T00:00:00.000,"171,779","2,437","23,234",631,"9,825","53,683","6,894","2,341","3,241",557,801,"1,971","1,943",744,"2,798","4,301",12,829,156,"4,155","4,805","5,110","2,723","3,875",134,"1,591","4,374",250,"4,084",709,"2,876","17,689",140,6,"2,880"
2020-05-14T00:00:00.000,"177,050","2,446","23,733",631,"10,370","54,780","7,043","2,661","3,387",588,840,"2,005","2,033",744,"2,971","4,607",12,855,165,"4,320","4,959","5,337","2,853","4,004",134,"1,649","4,435",293,"4,317",719,"3,079","18,016",140,6,"2,918"
2020-05-15T00:00:00.000,"183,112","2,849","24,478",641,"10,954","56,352","7,074","2,946","3,415",635,852,"2,062","2,038",746,"3,078","4,789",12,934,166,"4,423","5,121","5,619","2,973","4,132",134,"1,710","4,474",293,"4,522",722,"3,196","18,678",140,6,"2,948"
2020-05-16T00:00:00.000,"190,114","3,479","25,322",641,"11,273","58,171","7,144","3,141","3,500",668,"1,058","2,131","2,193",830,"3,262","5,066",12,951,166,"4,525","5,191","5,777","2,973","4,220",242,"1,730","4,523",293,"4,863",808,"3,279","19,360",325,8,"2,989"
2020-05-17T00:00:00.000,"196,417","3,623","26,154",643,"11,789","58,843","8,475","3,478","3,582",677,"1,125","2,137","2,283",842,"3,427","5,215",12,960,184,"4,760","5,326","5,854","3,021","4,516",242,"1,780","4,580",363,"5,017",859,"3,363","19,913",325,8,"3,041"
2020-05-18T00:00:00.000,"201,707","3,958","26,483",649,"12,450","60,029","9,328","3,555","3,674",691,"1,128","2,139","2,293",842,"3,610","5,281",12,"1,023",184,"4,951","5,395","5,909","3,282","4,609",245,"1,788","4,581",363,"5,299",875,"3,459","20,382",325,8,"3,088"
2020-05-19T00:00:00.000,"208,046","4,002","27,349",766,"12,650","63,097","9,724","3,657","3,693",731,"1,130","2,192","2,510",862,"3,727","5,548",12,"1,031",184,"4,944","5,256","5,957","3,333","4,747",253,"1,788","4,619",363,"5,481",924,"3,651","20,768",325,10,"2,762"
2020-05-20T00:00:00.000,"214,536","4,002","27,690",770,"13,382","64,831","10,377","3,862","3,718",747,"1,161","2,249","2,638",937,"3,911","5,627",12,"1,105",184,"5,151","5,418","6,269","3,505","4,893",274,"1,837","4,754",363,"5,544","1,011","3,685","21,339",429,10,"2,851"
2020-05-21T00:00:00.000,"222,210","4,053","29,118",771,"13,782","67,350","10,942","4,033","3,806",754,"1,175","2,301","2,639",952,"3,944","5,756",12,"1,148",221,"5,235","5,546","6,397","3,590","5,127",274,"1,846","4,861",376,"5,768","1,088","3,779","21,900",542,10,"3,114"
